t,F,S
0.0,3681.827482324645,0
0.001,3741.9787038603076,0
0.002,3820.5158330464624,0
0.003,3846.7060268974656,0
0.004,3856.720390235748,0
0.005,3763.117103389629,0
0.006,3824.527332250686,0
0.007,3874.6438211204945,0
0.008,3932.5102413817567,0
0.009000000000000001,3833.8236796839906,0
0.01,3825.5805260804873,0
0.011,3945.266347565733,0
0.012,3924.742045739912,0
0.013000000000000001,3894.402210372933,0
0.014,3931.2380558523723,0
0.015,3891.5265989557984,0
0.016,3875.4077308652127,0
0.017,3827.3042791474472,0
0.018000000000000002,3947.8415548315875,0
0.019,3936.914853525696,0
0.02,3948.0628765944825,0
0.021,3981.28748490838,0
0.022,3901.1144292042536,0
0.023,3936.5542345098097,0
0.024,3901.301994370255,0
0.025,3871.4116633111807,0
0.026000000000000002,3904.8242864599183,0
0.027,3812.00063250902,0
0.028,3802.3194039947925,0
0.029,3846.5350016785,0
0.03,3780.3286911863092,0
0.031,3802.2689848622604,0
0.032,3913.405801539886,0
0.033,3832.9280236195013,0
0.034,3711.764391567493,0
0.035,3725.341755500344,0
0.036000000000000004,3708.1936154173313,0
0.037,3665.3123201231715,0
0.038,3740.88792876262,0
0.039,3604.6846685310206,0
0.04,3596.7608402566075,0
0.041,3624.2363614502106,0
0.042,3687.834587677073,0
0.043000000000000003,3534.2222947103583,0
0.044,3445.257718391021,0
0.045,3530.011944690056,0
0.046,3610.2370509780176,0
0.047,3533.1146680382903,0
0.048,3598.4207546491184,0
0.049,3535.669724604064,0
0.05,3490.4241028899833,0
0.051000000000000004,3644.5349647063954,0
0.052000000000000005,3499.8353636181923,0
0.053,3528.107530026272,0
0.054,3576.1866583177757,0
0.055,3548.7825911373875,0
0.056,3596.6422280421366,0
0.057,3548.3177742368202,0
0.058,3580.3658918493747,0
0.059000000000000004,3644.1356611967344,0
0.06,3641.499705632419,0
0.061,3647.1747146689067,0
0.062,3739.6234373631173,0
0.063,3674.5606901682427,0
0.064,3696.69130861238,0
0.065,3797.5777459882893,0
0.066,3746.3761694075497,0
0.067,3732.011193099805,0
0.068,3820.736425532864,0
0.069,3832.964421879559,0
0.07,3786.3576889758056,0
0.07100000000000001,3835.5374086846496,0
0.07200000000000001,3836.6711593633167,0
0.073,3788.494358755166,0
0.074,3878.5348920147744,0
0.075,3891.5424730045743,0
0.076,3969.2521740843317,0
0.077,4066.2243332753956,0
0.078,3928.43861551546,0
0.079,3896.71557416858,0
0.08,3976.0456483295197,0
0.081,3964.677892238591,0
0.082,3927.9620582010048,0
0.083,4021.9599587538924,0
0.084,4070.7385903159375,0
0.085,3898.53418539574,0
0.08600000000000001,3970.9808305991487,0
0.08700000000000001,3981.3438090124305,0
0.088,3940.826790926111,0
0.089,3887.537610036766,0
0.09,3865.121867501974,0
0.091,3959.851773060223,0
0.092,3873.279019728457,0
0.093,3889.557759148698,0
0.094,3877.823165683213,0
0.095,3803.3695361562523,0
0.096,3864.3848927074987,0
0.097,3777.8689201794714,0
0.098,3698.3969159634075,0
0.099,3740.5528376001,0
0.1,3633.9629782817274,0
0.101,3698.08757773741,0
0.10200000000000001,3679.845230558572,0
0.10300000000000001,3708.2885798454413,0
0.10400000000000001,3694.328287381379,0
0.105,3700.6881788633077,0
0.106,3632.903732754787,0
0.107,3564.848875024918,0
0.108,3566.066149241229,0
0.109,3672.3171414164512,0
0.11,3526.986340680471,0
0.111,3612.4222500543183,0
0.112,3591.4533136603745,0
0.113,3548.6456074752086,0
0.114,3589.217713077065,0
0.115,3494.59135186086,0
0.116,3522.7910138392094,0
0.117,3568.372060810614,0
0.11800000000000001,3549.2766824188393,0
0.11900000000000001,3572.855578746098,0
0.12,3642.65382720015,0
0.121,3558.833038386339,0
0.122,3537.645136349976,0
0.123,3600.8151299910846,0
0.124,3667.8167920727706,0
0.125,3619.672651023534,0
0.126,3615.605892562077,0
0.127,3598.178752814167,0
0.128,3553.9934056569464,0
0.129,3774.833359679812,0
0.13,3762.7601302943403,0
0.131,3709.5478320828292,0
0.132,3821.6621376240946,0
0.133,3718.4551036615726,0
0.134,3816.7480249566997,0
0.135,3863.57914985104,0
0.136,3817.785150037129,0
0.137,3783.2110591266305,0
0.138,3889.4081357082905,0
0.139,3814.8061934164325,0
0.14,3886.746796197295,0
0.14100000000000001,3856.21075836021,0
0.14200000000000002,3864.8423394016177,0
0.14300000000000002,3815.4178951815234,0
0.14400000000000002,3913.473092807365,0
0.145,3932.817472230712,0
0.146,3989.676965404576,0
0.147,3910.7499236374783,0
0.148,3938.1814960165775,0
0.149,3915.12131496937,0
0.15,3937.5039413179943,0
0.151,3990.939315581465,0
0.152,3956.5504980304117,0
0.153,4026.410049746153,0
0.154,3952.290316446576,0
0.155,3927.358145777462,0
0.156,3867.09928469871,0
0.157,3919.7143623171105,0
0.158,3906.6996134667306,0
0.159,3822.197252075835,0
0.16,3901.73238462499,0
0.161,3800.030230295783,0
0.162,3849.51897356974,0
0.163,3735.7551028962857,0
0.164,3749.5442134012783,0
0.165,3801.800851216307,0
0.166,3728.3573367929566,0
0.167,3791.758267552174,0
0.168,3730.82622704798,0
0.169,3690.3390333885964,0
0.17,3697.6939946029797,0
0.171,3647.390279908395,0
0.17200000000000001,3679.6236477055013,0
0.17300000000000001,3608.1998156251243,0
0.17400000000000002,3711.173318058509,0
0.17500000000000002,3564.493486260466,0
0.176,3666.638951788078,0
0.177,3694.725617756102,0
0.178,3593.2593316277785,0
0.179,3492.4274315203406,0
0.18,3523.852361900053,0
0.181,3465.8752458862136,0
0.182,3480.828050259209,0
0.183,3575.1810663405845,0
0.184,3541.54770908876,0
0.185,3548.624948833015,0
0.186,3603.5658764169375,0
0.187,3586.837122612522,0
0.188,3540.410246100155,0
0.189,3575.025649068034,0
0.19,3541.378961587242,0
0.191,3563.438311118079,0
0.192,3580.2532759779656,0
0.193,3574.5570210691817,0
0.194,3608.380108856836,0
0.195,3579.409459604838,0
0.196,3683.961025910127,0
0.197,3629.766768987036,0
0.198,3775.714662701066,0
0.199,3737.5178584733176,0
0.2,3742.048811554909,0
0.201,3765.0263808311065,0
0.202,3774.2076147157054,0
0.203,3862.6575609409524,0
0.20400000000000001,3822.295498220363,0
0.20500000000000002,3798.024971277342,0
0.20600000000000002,3826.4401077019256,0
0.20700000000000002,3869.810873902037,0
0.20800000000000002,3887.175222678717,0
0.209,3852.152170370903,0
0.21,3928.6964070235686,0
0.211,3942.5560259880267,0
0.212,3949.315507938621,0
0.213,3967.282733455815,0
0.214,3911.2062071252894,0
0.215,3963.6499156305044,0
0.216,4070.549855566548,0
0.217,4027.785901503372,0
0.218,3947.014143417079,0
0.219,4029.1441002218917,0
0.22,3991.096435678904,0
0.221,3903.5607586137585,0
0.222,3983.3879068324236,0
0.223,3912.4526996006725,0
0.224,3858.5364431084413,0
0.225,3828.375936321654,0
0.226,3886.9097002124818,0
0.227,3869.273648060854,0
0.228,3844.3801728939075,0
0.229,3837.338113888511,0
0.23,3856.0719514887496,0
0.231,3728.9211261422724,0
0.232,3817.5733170401522,0
0.233,3699.05287663184,0
0.234,3719.7354958925557,0
0.23500000000000001,3631.8426479283467,0
0.23600000000000002,3685.0986217209506,0
0.23700000000000002,3667.9745206483435,0
0.23800000000000002,3581.82447189507,0
0.23900000000000002,3590.70214766545,0
0.24,3717.155798040987,0
0.241,3704.3406028386185,0
0.242,3541.9777320376984,0
0.243,3513.016587589453,0
0.244,3631.365951738497,0
0.245,3515.2996391182837,0
0.246,3694.7353996261627,0
0.247,3563.786876428529,0
0.248,3604.175602220037,0
0.249,3498.830168718042,0
0.25,3652.5665858312263,0
0.251,3533.927642307984,0
0.252,3515.2872623781896,0
0.253,3530.185345911766,0
0.254,3539.6522439652317,0
0.255,3549.9147931105554,0
